,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,SPY261218C00200000,2024-03-18 12:13PM EDT,200.0,325.25,323.5,328.5,-3.75,-1.14%,3,79,48.72%
1,SPY261218C00220000,2024-01-29 1:30PM EDT,220.0,279.31,296.82,300.5,0.0,-,1,1,35.87%
2,SPY261218C00230000,2024-03-06 2:49PM EDT,230.0,294.5,298.0,303.0,0.0,-,1,9,46.31%
3,SPY261218C00240000,2024-01-10 4:01PM EDT,240.0,255.0,274.5,279.5,0.0,-,1,4,31.41%
4,SPY261218C00250000,2024-03-14 2:02PM EDT,250.0,281.02,281.0,286.0,0.0,-,2,23,44.56%
5,SPY261218C00255000,2024-03-12 9:45AM EDT,255.0,275.5,277.0,282.0,0.0,-,2,4,44.29%
6,SPY261218C00260000,2024-01-04 10:32AM EDT,260.0,227.89,250.58,255.0,0.0,-,2,2,21.06%
7,SPY261218C00265000,2024-03-13 10:12AM EDT,265.0,272.5,268.5,273.5,0.0,-,-,1,43.37%
8,SPY261218C00270000,2024-02-21 10:55AM EDT,270.0,247.37,264.92,269.0,0.0,-,2,6,42.75%
9,SPY261218C00275000,2024-03-06 4:55PM EDT,275.0,257.98,260.0,265.0,0.0,-,40,18,42.45%
10,SPY261218C00280000,2024-03-05 12:50PM EDT,280.0,250.0,256.0,261.0,0.0,-,1,4,42.14%
11,SPY261218C00285000,2024-03-06 2:55PM EDT,285.0,247.0,251.5,256.5,0.0,-,1,2,41.52%
12,SPY261218C00290000,2024-03-11 11:00AM EDT,290.0,244.34,247.5,253.0,0.0,-,1,10,41.49%
13,SPY261218C00295000,2024-01-23 11:28AM EDT,295.0,214.5,235.5,240.5,0.0,-,2,3,36.10%
14,SPY261218C00300000,2024-03-14 12:49PM EDT,300.0,240.46,239.5,244.0,0.0,-,5,104,40.25%
15,SPY261218C00305000,2024-01-24 12:49PM EDT,305.0,207.3,227.0,232.0,0.0,-,2,4,35.36%
16,SPY261218C00310000,2024-02-22 12:18PM EDT,310.0,222.06,231.0,236.0,0.0,-,2,76,39.56%
17,SPY261218C00315000,2024-01-12 11:51AM EDT,315.0,189.56,212.0,217.0,0.0,-,1,2,30.80%
18,SPY261218C00320000,2024-03-07 3:58PM EDT,320.0,224.35,223.3,227.5,0.0,-,1,12,38.60%
19,SPY261218C00325000,2024-03-08 10:57AM EDT,325.0,222.5,218.5,223.5,0.0,-,1,11,38.24%
20,SPY261218C00330000,2024-03-13 10:37AM EDT,330.0,217.0,215.24,219.5,0.0,-,6,23,37.87%
21,SPY261218C00335000,2024-03-12 1:39PM EDT,335.0,212.22,210.5,215.5,0.0,-,2,8,37.51%
22,SPY261218C00340000,2024-02-29 12:37PM EDT,340.0,200.0,206.5,211.5,0.0,-,1,49,37.13%
23,SPY261218C00345000,2024-02-23 2:28PM EDT,345.0,198.5,202.5,207.5,0.0,-,1,23,36.75%
24,SPY261218C00350000,2024-03-14 1:17PM EDT,350.0,199.26,198.5,203.5,0.0,-,1,72,36.37%
25,SPY261218C00355000,2024-02-12 1:23PM EDT,355.0,184.25,194.5,199.5,0.0,-,2,3,35.98%
26,SPY261218C00360000,2024-02-23 2:28PM EDT,360.0,186.5,191.13,196.0,0.0,-,1,6,35.81%
27,SPY261218C00365000,2024-02-27 11:06AM EDT,365.0,179.31,187.17,191.5,0.0,-,1,3,35.19%
28,SPY261218C00370000,2024-02-28 4:35PM EDT,370.0,176.5,183.24,187.5,0.0,-,5,131,34.79%
29,SPY261218C00375000,2024-01-23 2:44PM EDT,375.0,151.69,171.52,176.0,0.0,-,7,4,31.22%
30,SPY261218C00380000,2024-03-01 12:06PM EDT,380.0,171.9,175.0,180.0,0.0,-,2,8,34.18%
31,SPY261218C00385000,2024-02-23 3:14PM EDT,385.0,166.13,171.0,176.0,0.0,-,3,27,33.76%
32,SPY261218C00390000,2024-03-13 11:30AM EDT,390.0,169.13,167.71,172.0,0.0,-,1,133,33.34%
33,SPY261218C00395000,2024-02-27 12:37PM EDT,395.0,156.22,163.5,168.5,0.0,-,2,93,33.11%
34,SPY261218C00400000,2024-03-15 3:57PM EDT,400.0,160.0,159.5,164.5,0.0,-,1,136,32.68%
35,SPY261218C00405000,2024-03-06 2:50PM EDT,405.0,150.92,156.0,160.5,0.0,-,1,9,32.25%
36,SPY261218C00410000,2024-03-13 1:31PM EDT,410.0,154.13,152.0,157.0,0.0,-,5,113,32.00%
37,SPY261218C00415000,2024-03-14 9:40AM EDT,415.0,151.0,148.5,153.0,0.0,-,15,20,31.56%
38,SPY261218C00420000,2024-03-13 1:31PM EDT,420.0,146.5,144.5,149.5,0.0,-,4,35,31.29%
39,SPY261218C00425000,2024-02-26 11:17AM EDT,425.0,136.51,141.0,146.0,0.0,-,8,14,31.02%
40,SPY261218C00430000,2024-03-12 10:54AM EDT,430.0,140.0,137.5,142.5,0.0,-,1,35,30.73%
41,SPY261218C00435000,2024-02-16 11:58AM EDT,435.0,123.62,130.89,135.5,0.0,-,1,24,29.22%
42,SPY261218C00440000,2024-03-06 2:50PM EDT,440.0,126.0,130.7,135.0,0.0,-,1,59,29.97%
43,SPY261218C00445000,2024-03-18 12:50PM EDT,445.0,129.6,126.5,131.5,4.05,+3.23%,1,5,29.67%
44,SPY261218C00450000,2024-03-18 11:05AM EDT,450.0,124.5,123.5,128.0,-1.5,-1.19%,1,78,29.35%
45,SPY261218C00455000,2024-03-08 12:22PM EDT,455.0,120.05,120.0,124.5,0.0,-,2,12,29.03%
46,SPY261218C00460000,2024-03-13 11:01AM EDT,460.0,118.49,116.5,121.5,0.0,-,1,49,28.87%
47,SPY261218C00465000,2024-02-23 12:13PM EDT,465.0,107.96,113.0,118.0,0.0,-,1,9,28.53%
48,SPY261218C00470000,2024-03-18 12:25PM EDT,470.0,110.25,109.5,114.5,5.25,+5.00%,3,277,28.18%
49,SPY261218C00475000,2024-03-15 12:50PM EDT,475.0,105.0,106.5,111.5,0.0,-,9,1420,27.99%
50,SPY261218C00480000,2024-03-18 10:45AM EDT,480.0,107.75,103.0,108.0,5.55,+5.43%,2,259,27.63%
51,SPY261218C00485000,2024-03-14 11:12AM EDT,485.0,101.25,100.0,105.0,0.0,-,1,970,27.41%
52,SPY261218C00490000,2024-03-14 2:58PM EDT,490.0,95.0,96.8,101.5,0.0,-,1,1060,27.03%
53,SPY261218C00495000,2024-03-14 9:46AM EDT,495.0,95.23,93.5,98.5,0.0,-,1,1750,26.80%
54,SPY261218C00500000,2024-03-18 11:43AM EDT,500.0,95.0,90.5,95.5,5.77,+6.47%,6,2002,26.55%
55,SPY261218C00505000,2024-03-14 9:32AM EDT,505.0,90.0,87.5,92.5,0.0,-,4,412,26.30%
56,SPY261218C00510000,2024-03-18 11:14AM EDT,510.0,86.25,84.5,89.5,2.25,+2.68%,4,798,26.04%
57,SPY261218C00515000,2024-03-18 12:50PM EDT,515.0,84.0,81.5,86.5,0.84,+1.01%,5,1569,25.76%
58,SPY261218C00520000,2024-03-18 12:11PM EDT,520.0,81.0,78.5,83.5,3.22,+4.14%,3,1043,25.47%
59,SPY261218C00525000,2024-03-15 10:23AM EDT,525.0,76.01,75.5,78.56,0.0,-,1,216,24.60%
60,SPY261218C00530000,2024-03-15 10:29AM EDT,530.0,71.92,72.5,77.5,0.0,-,1,545,24.87%
61,SPY261218C00535000,2024-03-18 10:40AM EDT,535.0,73.25,70.0,74.48,4.74,+6.92%,1,2191,24.55%
62,SPY261218C00540000,2024-03-14 10:26AM EDT,540.0,66.22,67.0,72.0,0.0,-,2,1952,24.37%
63,SPY261218C00545000,2024-02-21 4:55PM EDT,545.0,52.87,64.5,68.0,0.0,-,5,13,23.74%
64,SPY261218C00550000,2024-03-18 9:30AM EDT,550.0,63.0,61.5,66.25,-0.01,-0.02%,1,85,23.75%
65,SPY261218C00555000,2024-03-13 1:26PM EDT,555.0,61.41,59.0,63.59,0.0,-,2,28,23.48%
66,SPY261218C00560000,2024-03-18 12:38PM EDT,560.0,58.8,56.5,60.96,2.54,+4.51%,1,109,23.22%
67,SPY261218C00565000,2024-03-08 1:37PM EDT,565.0,53.42,54.5,58.43,0.0,-,1,55,22.96%
68,SPY261218C00570000,2024-03-12 2:32PM EDT,570.0,55.0,51.5,55.86,1.34,+2.50%,2,65,22.69%
69,SPY261218C00575000,2024-03-13 9:45AM EDT,575.0,50.48,49.98,52.21,0.0,-,2,30,22.07%
70,SPY261218C00580000,2024-03-18 10:10AM EDT,580.0,49.22,47.61,49.88,2.23,+4.75%,2,1186,21.84%
71,SPY261218C00585000,2024-03-15 1:05PM EDT,585.0,43.77,45.27,47.53,0.0,-,1,27,21.58%
72,SPY261218C00590000,2024-03-15 1:05PM EDT,590.0,41.59,43.02,45.3,0.0,-,1,23,21.35%
73,SPY261218C00595000,2024-03-13 3:28PM EDT,595.0,41.2,40.82,43.11,0.0,-,1,13,21.11%
74,SPY261218C00600000,2024-03-15 10:03AM EDT,600.0,37.84,39.96,40.97,0.0,-,1,1008,20.87%
75,SPY261218C00605000,2024-03-14 10:00AM EDT,605.0,36.87,37.67,38.92,0.49,+1.35%,1,110,20.65%
76,SPY261218C00610000,2024-03-15 1:08PM EDT,610.0,33.62,34.64,36.87,0.0,-,3,82,20.41%
77,SPY261218C00615000,2024-03-05 10:34AM EDT,615.0,29.89,32.7,34.96,0.0,-,1,35,20.19%
78,SPY261218C00620000,2024-03-18 11:15AM EDT,620.0,32.48,30.88,33.09,1.48,+4.77%,2,105,19.98%
79,SPY261218C00625000,2024-03-08 1:58PM EDT,625.0,27.6,29.09,31.25,0.0,-,1,32,19.75%
80,SPY261218C00630000,2024-03-12 2:32PM EDT,630.0,28.0,27.35,29.55,0.0,-,1,67,19.55%
81,SPY261218C00635000,2024-03-13 10:13AM EDT,635.0,26.6,25.69,27.85,0.0,-,1,48,19.34%
82,SPY261218C00640000,2024-03-13 1:34PM EDT,640.0,25.1,24.12,26.28,0.0,-,1,41,19.15%
83,SPY261218C00645000,2024-03-08 10:30AM EDT,645.0,22.5,22.62,24.75,0.0,-,1,9,18.96%
84,SPY261218C00650000,2024-03-18 11:38AM EDT,650.0,22.85,21.75,23.27,1.85,+8.81%,1,44,18.77%
85,SPY261218C00655000,2024-02-26 2:17PM EDT,655.0,16.79,19.83,21.87,0.0,-,37,39,18.59%
86,SPY261218C00660000,2024-02-27 12:34PM EDT,660.0,14.99,18.53,20.55,0.0,-,2,25,18.41%
87,SPY261218C00665000,2024-03-14 3:18PM EDT,665.0,17.25,17.28,19.3,0.0,-,1,17,18.25%
88,SPY261218C00670000,2024-03-14 3:22PM EDT,670.0,16.1,16.12,18.11,0.0,-,1,174,18.09%
89,SPY261218C00675000,2024-03-18 9:45AM EDT,675.0,16.18,15.02,16.98,1.13,+7.51%,1,329,17.94%
90,SPY261218C00680000,2024-03-14 3:22PM EDT,680.0,14.1,13.97,15.92,0.0,-,4,49,17.79%
91,SPY261218C00685000,2024-03-07 10:37AM EDT,685.0,13.0,12.99,14.9,0.0,-,1,13,17.65%
92,SPY261218C00690000,2024-03-15 2:20PM EDT,690.0,12.11,12.07,13.97,0.0,-,2,61,17.52%
93,SPY261218C00695000,2024-03-07 10:32AM EDT,695.0,10.0,11.21,13.07,0.0,-,1,6,17.39%
94,SPY261218C00700000,2024-03-18 12:55PM EDT,700.0,11.4,10.41,12.23,0.5,+4.59%,8,164,17.27%
95,SPY261218C00705000,2024-03-07 10:30AM EDT,705.0,9.22,9.64,11.44,0.0,-,1,3,17.15%
96,SPY261218C00710000,2024-01-24 3:13PM EDT,710.0,3.75,5.76,8.93,0.0,-,2,2,16.16%
97,SPY261218C00720000,2024-03-18 9:46AM EDT,720.0,8.82,7.67,9.37,1.38,+18.55%,14,2,16.85%
98,SPY261218C00725000,2024-03-15 2:22PM EDT,725.0,7.3,7.09,8.76,0.0,-,2,3,16.76%
99,SPY261218C00730000,2024-03-12 10:36AM EDT,730.0,7.04,6.56,8.19,0.0,-,1,1,16.67%
100,SPY261218C00735000,2024-03-14 3:09PM EDT,735.0,6.5,6.08,7.67,0.0,-,1,2,16.60%
101,SPY261218C00740000,2024-03-11 11:31AM EDT,740.0,5.15,5.63,7.17,0.0,-,1,3,16.52%
102,SPY261218C00745000,2024-03-13 1:05PM EDT,745.0,6.59,5.22,6.71,0.0,-,1,7,16.45%
103,SPY261218C00750000,2024-03-18 11:02AM EDT,750.0,5.75,5.0,6.0,0.25,+4.55%,20,1651,16.20%
104,SPY261218C00755000,2024-03-15 9:30AM EDT,755.0,5.13,5.25,5.87,0.0,-,1,3,16.32%
105,SPY261218C00760000,2024-03-13 10:28AM EDT,760.0,4.8,4.15,5.49,0.0,-,4,22,16.25%
106,SPY261218C00765000,2024-03-18 10:24AM EDT,765.0,4.76,2.98,5.0,0.31,+6.97%,10,22,16.10%
107,SPY261218C00770000,2024-03-14 3:18PM EDT,770.0,4.7,2.7,5.99,0.0,-,13,15,16.99%
108,SPY261218C00775000,2024-03-18 11:13AM EDT,775.0,4.19,2.42,5.66,-0.72,-14.66%,1,2,16.96%
